City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Mahajanga,MG,89.62,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
225,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
226,Bose,IT,84.24,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
227,Vieques,PR,84.85,few clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
228,Salinopolis,BR,83.98,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
230,Grand-Santi,GF,81.03,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
233,Abu Samrah,SY,84.4,clear sky,35.3029,37.1841,
234,Sao Filipe,CV,81.61,scattered clouds,14.8961,-24.4956,Hotel Xaguate
240,Acarau,BR,83.77,broken clouds,-2.8856,-40.12,castelo pizzaria
242,Ko Samui,TH,83.53,overcast clouds,9.5357,99.9357,The Passage
245,Thung Song,TH,76.84,light rain,8.1645,99.6804,Jasmine Resort And Spa
246,Sibolga,ID,78.3,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
248,Schramberg,DE,77.65,overcast clouds,48.224,8.3858,Landhotel Basler Hof
249,Isangel,VU,76.24,overcast clouds,-19.55,169.2667,Tanna Lodge
251,Kapit,MY,76.42,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
257,Manacapuru,BR,76.95,overcast clouds,-3.2997,-60.6206,Novo Hotel
260,Ranong,TH,78.82,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
263,Ponta Do Sol,PT,78.71,clear sky,32.6667,-17.1,Hotel do Campo
264,Katherine,AU,80.92,clear sky,-14.4667,132.2667,Pine Tree Motel
267,Itarema,BR,83.75,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
272,Alofi,NU,77.07,broken clouds,-19.0595,-169.9187,Taloa Heights
274,Dingle,PH,78.57,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
276,Namibe,AO,78.69,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
277,Zhezkazgan,KZ,78.78,light rain,47.8043,67.7144,Hotel Zumrat
278,Cozumel,MX,78.94,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
280,Biak,ID,78.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
281,Namuac,PH,77.07,overcast clouds,18.6109,121.1657,Mlin Hotel
283,Nchelenge,ZM,80.33,few clouds,-9.3451,28.734,KD Travellers Home
284,Porto Novo,BJ,89.47,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
285,Yanam,IN,85.42,overcast clouds,16.7333,82.2167,The Regency Hotel
293,Lakatoro,VU,78.39,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
297,Faya,SA,82.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
301,Kupang,ID,79.68,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
304,Taguatinga,BR,88.03,overcast clouds,-12.3857,-46.5711,
305,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
309,Tura,IN,76.33,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
310,Bacolod,PH,79.41,overcast clouds,10.6667,122.95,Planta Hotel & Residences
312,Nova Olinda Do Norte,BR,77.41,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
314,Inirida,CO,78.24,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
315,Acajutla,SV,81.57,overcast clouds,13.5928,-89.8275,Laureles
318,Tutoia,BR,84.9,few clouds,-2.7619,-42.2744,Pousada Guará's
322,Mitsamiouli,KM,81.16,light rain,-11.3847,43.2844,Foyer ADM
323,San Pedro,PH,78.31,light rain,14.35,121.0167,Esquivel's Garden And Resort
330,Irbil,IQ,85.73,clear sky,36.1926,44.0106,Erbil International Hotel
332,Tifton,US,75.16,clear sky,31.4505,-83.5085,Hilton Garden Inn Tifton
333,Saint-Francois,FR,84.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
335,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
336,Mbandaka,CD,87.3,overcast clouds,0.0487,18.2603,Guest House Epervier
340,Calvinia,ZA,79.97,clear sky,-31.4707,19.776,Die Lemoenhuis
344,Graaff-Reinet,ZA,80.92,clear sky,-32.2522,24.5308,Rietjiesbos Self Catering
347,Thinadhoo,MV,84.45,overcast clouds,0.5333,72.9333,
350,Moyale,KE,77.07,overcast clouds,3.5167,39.0584,La Tahzan Guest House
351,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
355,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
361,Belmonte,BR,82.17,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
363,Kavieng,PG,82.33,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
365,Macaubas,BR,88.59,clear sky,-13.0194,-42.6986,Hotel Portal
367,Marsh Harbour,BS,76.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
371,Kloulklubed,PW,79.3,clear sky,7.0419,134.2556,Storyboard Beach Resort
375,Panalingaan,PH,77.52,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
376,Iberia,US,80.06,few clouds,29.9502,-91.7507,back to back rv park
379,Meulaboh,ID,80.85,scattered clouds,4.1363,96.1285,Kost Pria
381,Male,MV,82.89,moderate rain,4.1748,73.5089,Hotel Octave Maldives
382,Semporna,MY,79.83,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
386,Coro,VE,83.1,overcast clouds,11.4045,-69.6734,Federal
387,Camopi,GF,79.79,overcast clouds,3.1655,-52.3158,La pousada
389,Boa Vista,BR,80.58,light rain,2.8197,-60.6733,Aipana Plaza Hotel
394,Padang,ID,79.79,overcast clouds,-0.9492,100.3543,Mercure Padang
395,Lucea,JM,82.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
396,Punto Fijo,VE,81.63,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
