City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Manggar,ID,2022-05-12 18:59:54,-2.8833,108.2667,80.67,81,90,3.2
97,Kandrian,PG,2022-05-12 18:59:54,-6.2167,149.55,77.85,86,100,7.76
98,Bredasdorp,ZA,2022-05-12 18:59:54,-34.5322,20.0403,57.11,62,0,8.32
99,Chokurdakh,RU,2022-05-12 18:59:55,70.6333,147.9167,21.6,95,100,6.11
100,Srednekolymsk,RU,2022-05-12 18:59:55,67.45,153.6833,29.14,87,4,7.38
101,New Norfolk,AU,2022-05-12 18:59:55,-42.7826,147.0587,48.65,89,0,2.21
102,Klaksvik,FO,2022-05-12 18:59:56,62.2266,-6.589,45.52,84,100,19.37
103,Hyeres,FR,2022-05-12 18:59:56,43.1167,6.1167,72.25,94,0,9.22
104,Wanning,CN,2022-05-12 18:59:56,18.8003,110.3967,79.47,93,67,8.77
105,Homer,US,2022-05-12 18:59:57,59.6425,-151.5483,47.05,78,29,1.01
106,Ketchikan,US,2022-05-12 18:56:47,55.3422,-131.6461,43.65,89,100,9.84
107,Mahebourg,MU,2022-05-12 18:59:57,-20.4081,57.7,73.69,88,40,2.3
108,Sukagawa,JP,2022-05-12 18:59:57,37.2833,140.3833,60.85,97,100,4.74
109,Lima,PE,2022-05-12 18:59:58,-12.0432,-77.0282,62.85,82,75,8.05
110,Haines Junction,CA,2022-05-12 18:59:58,60.7522,-137.5108,40.95,52,99,2.3
111,Cape Town,ZA,2022-05-12 18:56:36,-33.9258,18.4232,61.21,72,75,12.66
112,Verkhoyansk,RU,2022-05-12 18:59:58,67.5447,133.385,33.6,86,100,9.31
113,Kapaa,US,2022-05-12 18:59:59,22.0752,-159.319,78.78,80,66,7.0
114,Sao Felix Do Xingu,BR,2022-05-12 18:59:59,-6.6447,-51.995,87.03,60,59,3.13
115,Hermanus,ZA,2022-05-12 19:00:00,-34.4187,19.2345,61.81,69,22,11.32
116,Avarua,CK,2022-05-12 19:00:00,-21.2078,-159.775,78.85,94,75,8.05
117,Mataura,NZ,2022-05-12 19:00:01,-46.1927,168.8643,45.48,93,99,2.82
118,Castro,BR,2022-05-12 19:00:01,-24.7911,-50.0119,67.95,62,4,4.59
119,Pisco,PE,2022-05-12 19:00:02,-13.7,-76.2167,69.03,81,10,9.42
120,Komsomolskiy,UZ,2022-05-12 19:00:02,40.4272,71.7189,70.52,46,100,11.5
121,Andenes,NO,2022-05-12 19:00:03,69.3143,16.1194,39.18,81,40,12.66
122,Matagami,CA,2022-05-12 19:00:03,49.7502,-77.6328,64.6,90,100,5.14
123,Sakakah,SA,2022-05-12 19:00:04,29.9697,40.2064,77.58,22,0,8.48
124,Baft,IR,2022-05-12 19:00:04,29.234,56.6057,64.76,8,0,2.93
125,Dikson,RU,2022-05-12 19:00:05,73.5069,80.5464,11.35,93,95,6.64
126,Tromso,NO,2022-05-12 19:00:06,69.6496,18.957,37.42,81,75,5.75
127,Rembang,ID,2022-05-12 19:00:07,-6.707,111.3498,78.01,90,59,5.41
128,Cherskiy,RU,2022-05-12 19:00:08,68.75,161.3,28.4,88,100,10.51
129,Mogadishu,SO,2022-05-12 19:00:08,2.0371,45.3438,81.34,83,57,16.62
130,Ziway,ET,2022-05-12 19:00:09,7.9333,38.7167,71.78,32,12,8.48
131,Victoria,HK,2022-05-12 19:00:05,22.2855,114.1577,79.95,95,100,5.01
132,Saint-Georges,GD,2022-05-12 18:56:58,12.0564,-61.7485,85.68,66,20,31.07
133,Ponta Do Sol,PT,2022-05-12 19:00:09,32.6667,-17.1,70.72,77,41,3.4
